"","Protein","Unadjusted.Effect","Unadjusted.Pval","Adjusted.Effect","Adjusted.Pval","Interaction.Pval"
"1","ALCAM","1.9076(0.9673,3.8839)",0.0672,"2.5772(0.9094,8.0153)",0.084,0.3514
"2","Gal-4","0.9162(0.5786,1.4502)",0.7073,"0.9245(0.4384,1.9998)",0.8374,0.7365
"3","PECAM-1","1.588(1.0795,2.38)",0.0213,"1.8028(0.9738,3.5262)",0.0707,0.6106
"4","GP6","1.291(0.9624,1.7498)",0.0927,"1.723(1.0733,2.8762)",0.0295,0.3206
"5","ST2","1.2771(0.6451,2.5509)",0.4835,"1.6517(0.6325,4.4788)",0.3099,0.2323
