"","Protein","Unadjusted.Effect","Unadjusted.Pval","Adjusted.Effect","Adjusted.Pval","Interaction.Pval"
"1","ALCAM","2.2925(1.144,4.7824)",0.0224,"2.7085(0.9442,8.5975)",0.0733,0.589
"2","Gal-4","0.9532(0.6007,1.5156)",0.8382,"1.1477(0.5355,2.5779)",0.7285,0.4251
"3","PECAM-1","1.5848(1.074,2.3829)",0.023,"1.7667(0.9515,3.4643)",0.0822,0.6155
"4","GP6","1.3527(1.004,1.8451)",0.0508,"1.6894(1.0472,2.8336)",0.0378,0.5134
"5","ST2","1.3543(0.6806,2.7244)",0.3891,"1.5042(0.5728,4.0882)",0.4106,0.4413
