"","Protein","Unadjusted.Effect","Unadjusted.Pval","Adjusted.Effect","Adjusted.Pval","Interaction.Pval"
"1","ALCAM","-0.4932(-1.4243,0.438)",0.2976,"-1.5927(-2.9339,-0.2514)",0.0202,0.0253
"2","Gal-4","0.0505(-0.5907,0.6917)",0.8768,"-0.8812(-1.8872,0.1248)",0.0857,0.0436
"3","PECAM-1","-0.0712(-0.6092,0.4668)",0.7944,"-0.2861(-1.0569,0.4846)",0.4651,0.3175
"4","GP6","-0.6924(-1.089,-0.2958)",7e-04,"-0.561(-1.1238,0.0018)",0.0507,0.8223
"5","ST2","-0.7618(-1.672,0.1484)",0.1004,"-1.1629(-2.371,0.0451)",0.0591,0.093
