"","Protein","Unadjusted.Effect","Unadjusted.Pval","Adjusted.Effect","Adjusted.Pval","Interaction.Pval"
"1","ALCAM","-13.1899(-51.6667,25.287)",0.4996,"-85.5014(-150.8338,-20.1689)",0.0106,0.0131
"2","Gal-4","14.3248(-10.7234,39.373)",0.2606,"31.5552(-12.7043,75.8146)",0.1611,0.2296
"3","PECAM-1","-18.7947(-39.3627,1.7733)",0.073,"-41.7496(-72.1123,-11.387)",0.0073,0.0395
"4","GP6","-9.8635(-26.4327,6.7058)",0.2417,"-12.636(-37.0755,11.8034)",0.3089,0.4415
"5","ST2","-11.2435(-46.9298,24.4429)",0.5349,"-29.0777(-77.9402,19.7849)",0.2418,0.2211
